genus,subgenus,section,n
Hymenophyllum,Cardiomanes,,1
Hymenophyllum,Diploophyllum,,1
Hymenophyllum,Fuciformia,,2
Hymenophyllum,Globosa,,2
Hymenophyllum,Hymenoglossum,,2
Hymenophyllum,Hymenophyllum,,4
Hymenophyllum,Mecodium,,2
Hymenophyllum,Myrmecostylum,,2
Hymenophyllum,Pleuromanes,,2
Hymenophyllum,Sphaerocionium,,4
