type,num_reads,mapped_reads,perc_on_target
nuclear,1.5e+06 ± 2.6e+06,9.0e+04 ± 1.6e+05,8.92% ± 5.46%
plastome,1.5e+06 ± 2.6e+06,2.3e+03 ± 3.8e+03,0.21% ± 0.18%
